Comment,Designator,Footprint,LCSC
D,D31,0805_diode,
SW_Push,SW9,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW15,Kailh_socket_PG1350_optional_reversible,
D,D21,0805_diode,
SW_Push,SW14,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW6,Kailh_socket_PG1350_optional_reversible,
Conn_01x05,J1,PinHeader_1x05_P2.54mm_Vertical,
D,D17,0805_diode,
SW_Push,SW4,Kailh_socket_PG1350_optional_reversible,
D,D9,0805_diode,
D,D15,0805_diode,
SW_Push,SW13,Kailh_socket_PG1350_optional_reversible,
D,D7,0805_diode,
D,D23,0805_diode,
SW_Push,SW16,SW_PG1350_reversible_rotatable,
SW_Push,SW17,SW_PG1350_reversible_rotatable,
D,D19,0805_diode,
D,D11,0805_diode,
SW_Push,SW8,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW3,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW1,Kailh_socket_PG1350_optional_reversible,
D,D3,0805_diode,
D,D1,0805_diode,
D,D29,0805_diode,
SW_Push,SW12,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW5,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW10,Kailh_socket_PG1350_optional_reversible,
D,D27,0805_diode,
D,D33,0805_diode,
TRRS,U3,TRRS-PJ-320A,
D,D13,0805_diode,
D,D25,0805_diode,
SW_Push,SW2,Kailh_socket_PG1350_optional_reversible,
SW_Push,SW11,Kailh_socket_PG1350_optional_reversible,
D,D35,0805_diode,
xiao,U1,xiao-smd,
SW_Push,SW18,SW_PG1350_reversible_rotatable,
SW_Push,SW7,Kailh_socket_PG1350_optional_reversible,
D,D5,0805_diode,
D,D12,0805_diode,
D,D18,0805_diode,
D,D36,0805_diode,
D,D14,0805_diode,
D,D30,0805_diode,
D,D8,0805_diode,
D,D6,0805_diode,
xiao,U2,xiao-smd,
D,D10,0805_diode,
D,D28,0805_diode,
D,D4,0805_diode,
D,D26,0805_diode,
D,D22,0805_diode,
D,D2,0805_diode,
D,D16,0805_diode,
D,D34,0805_diode,
D,D32,0805_diode,
D,D24,0805_diode,
D,D20,0805_diode,
TRRS,U4,TRRS-PJ-320A,
MountingHole,H3,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H1,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H7,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H5,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H4,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H10,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H6,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H8,MountingHole_2.2mm_M2_DIN965_Pad,
MountingHole,H2,MountingHole_2.2mm_M2_DIN965_Pad,
